Altium Designer Pick and Place Locations
C:\Active Projects\NextGen\HDK\Hardware\Files For Customer Release\PCB\Pick Place\Pick Place for BytePipe_x9002_HDK_Rev2.txt

========================================================================================================================
File Design Information:

Date:       11/10/21
Time:       16:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                          Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
R103       RES_0402_A                       TopLayer    SM/0402/RES                    1747.000      1643.000      360      DNP                                                                                                              
R102       RES_0402_A                       TopLayer    SM/0402/RES                    1671.000      1643.000      360      DNP                                                                                                              
R101       RES_0402_A                       TopLayer    SM/0402/RES                    1691.000      1663.000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                                
R100       RES_0402_A                       TopLayer    SM/0402/RES                    1727.000      1663.000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                                
R88        RES_0402_A                       BottomLayer SM/0402/RES                    3929.000      3272.000      90       "RES SMD 10K OHM 1% 1/10W 0402"                                                                                  
SW2        AS1D-2M-10-Z                     TopLayer    SWITCH/NIDEC/SPDT/AS1D-2M-10-Z 4004.000      3230.000      360      "SWITCH SLIDE SPDT 50MA 48V"                                                                                     
U18        REG_TPS54561_WSON-10             TopLayer    SM/WSON10/4x4MM_A              3365.000      3435.000      90       "4.5-V to 60-V Input, 5-A, Step-Down DC-DC Converter with Soft-Start and Eco-mode"                               
TP12       TESTPOINT_030                    TopLayer    SM/TESTPOINT/30MIL             2889.000      3112.000      180      ""                                                                                                               
TP11       TESTPOINT_030                    TopLayer    SM/TESTPOINT/30MIL             2889.968      2985.032      180      ""                                                                                                               
TP10       TESTPOINT_030                    TopLayer    SM/TESTPOINT/30MIL             2126.357      1573.000      90       ""                                                                                                               
TP9        TESTPOINT_030                    BottomLayer SM/TESTPOINT/30MIL             2143.820      1155.444      360      ""                                                                                                               
TP8        TESTPOINT_030                    TopLayer    SM/TESTPOINT/30MIL             2116.000      1525.000      360      ""                                                                                                               
TP7        TESTPOINT_030                    BottomLayer SM/TESTPOINT/30MIL             1992.968      700.784       180      ""                                                                                                               
TP6        TESTPOINT_030                    BottomLayer SM/TESTPOINT/30MIL             2214.000      1280.000      360      ""                                                                                                               
TP5        TESTPOINT_030                    BottomLayer SM/TESTPOINT/30MIL             2217.000      1156.000      360      ""                                                                                                               
TP4        TESTPOINT_030                    BottomLayer SM/TESTPOINT/30MIL             2092.320      700.753       180      ""                                                                                                               
TP3        TESTPOINT_030                    TopLayer    SM/TESTPOINT/30MIL             2286.168      1566.000      180      ""                                                                                                               
TP2        TESTPOINT_030                    BottomLayer SM/TESTPOINT/30MIL             2266.000      1280.000      360      ""                                                                                                               
TP1        TESTPOINT_030                    TopLayer    SM/TESTPOINT/30MIL             2302.000      1521.000      360      ""                                                                                                               
R87        RES_0402_A                       TopLayer    SM/0402/RES                    3202.000      3448.000      90       "RES SMD 16.9K OHM 1% 1/10W 0402"                                                                                
R86        RES_0402_A                       TopLayer    SM/0402/RES                    3239.000      3527.000      90       "RES SMD 10K OHM 1% 1/10W 0402"                                                                                  
R85        RES_0402_A                       TopLayer    SM/0402/RES                    3425.000      3547.000      180      "RES SMD 100K OHM 1% 1/10W 0402"                                                                                 
R84        RES_0402_A                       BottomLayer SM/0402/RES                    3894.000      3348.000      360      "RES SMD 2 KOHM 1% 1/5W 0402"                                                                                    
R83        RES_0402_A                       BottomLayer SM/0402/RES                    3891.000      3095.000      90       "RES SMD 1K OHM 1% 1/10W 0402"                                                                                   
R82        RES_0402_A                       TopLayer    SM/0402/RES                    3181.000      3507.000      180      "RES SMD 52.3K OHM 1% 1/10W 0402"                                                                                
R81        RES_0805_A                       TopLayer    SM/0805/RES                    2850.000      3041.000      180      "RES SMD 0 OHM JUMPER 1/8W 0805"                                                                                 
